address,postal_code,beds,baths,price,city,state,sqft,lat,lon,Avg_sqft(PCode),School_district,Nearly_school,Avg_price(PCode)
"200 Rector Pl Apt 9S in Battery Park City, New York, 10280",10280,1,1,"$695,000",New York,New York,547 sq ft,40.708471,-74.016398,593.5,No,Yeshiva University,795000.0
"200 Rector Pl Apt 16G in Battery Park City, Manhattan, 10280",10280,1,1,"$895,000",Manhattan,New York,640 sq ft,40.708471,-74.016398,593.5,No,Manhattan Area Technical College,795000.0
"2782 Batchelder St in Sheepshead Bay, Brooklyn, 11235",11235,4,4,"$988,000",Brooklyn,New York,"1,096 sq ft",40.585695,-73.936384,869.8333333333334,No,Yeshiva Yesoda Hatorah Vetz Chaim,667666.3333333334
"2070 E 21st St in Sheepshead Bay, Brooklyn, 11229",11229,3,3,"$1,399,000",Brooklyn,New York,"1,512 sq ft",40.602217,-73.951176,1417.3333333333333,No,Yeshiva Yesoda Hatorah Vetz Chaim,924333.3333333334
"303 E East 77th St Unit 2B in Upper East Side, New York, 10075",10075,2,2,"$1,950,000",New York,New York,"1,346 sq ft",40.772028,-73.955653,1132.0,Yes,Yeshiva University,1458333.3333333333
"140 W 22nd St Apt 2F, New York, 10011",10011,1,2,"$1,825,000",New York,New York,"1,063 sq ft",40.742105,-74.000689,392.3333333333333,No,Yeshiva University,2290833.3333333335
"727 Ditmas Ave in Central Brooklyn, Brooklyn, 11218",11218,0,0,"$1,450,000",Brooklyn,New York,sq ft N/A,40.636601,-73.970537,700.0,Yes,Yeshiva Yesoda Hatorah Vetz Chaim,912250.0
"3207 Beverley Rd in Central Brooklyn, Brooklyn, 11226",11226,0,0,"$899,000",Brooklyn,New York,sq ft N/A,40.645498,-73.946725,0.0,Yes,CUNY Kingsborough Community College,899000.0
"84-34 107th St in Richmond Hill, Richmond Hill, 11418",11418,3,2,"$729,000",Richmond Hill,New York,"1,376 sq ft",40.699508,-73.842673,1608.6666666666667,Yes,Rabbinical Seminary of America-Ma'yan HaTorah,949333.3333333334
"102-22 187th St in Southeastern Queens, Hollis, 11423",11423,3,2,"$515,000",Hollis,New York,"1,120 sq ft",40.707265,-73.770731,373.3333333333333,No,No-school,888000.0
"32 Gramercy Park S Apt 4G in Midtown Manhattan, New York, 10003",10003,1,1,"$1,050,000",New York,New York,sq ft N/A,40.736865,-73.98499,0.0,No,Yeshiva University,2383750.0
"200 Central 10I Park S Unit 9 in Midtown Manhattan, New York, 10019",10019,2,3,"$2,750,000",New York,New York,"1,650 sq ft",40.766677,-73.979737,1200.0,No,Yeshiva University,1724500.0
"1047 E 3rd St in Central Brooklyn, Brooklyn, 11230",11230,3,3,"$1,450,000",Brooklyn,New York,"1,312 sq ft",40.625532,-73.973731,1105.6666666666667,Yes,Yeshiva Yesoda Hatorah Vetz Chaim,786000.0
"51 5th Ave Apt 3A in Greenwich Village, New York, 10003",10003,2,2,"$2,950,000",New York,New York,sq ft N/A,40.734385,-73.99435,0.0,No,Yeshiva University,2383750.0
"2548 Matthews Ave in East Bronx, Bronx, 10467",10467,4,2,"$629,900",Bronx,New York,"1,914 sq ft",40.864638,-73.862319,1914.0,Yes,CUNY Hostos Community College,629900.0
"251 7th St Apt 2H in Gowanus, Brooklyn, 11215",11215,1,1,"$699,000",Brooklyn,New York,671 sq ft,40.671977,-73.988006,564.2857142857143,No,CUNY Kingsborough Community College,1482428.5714285714
"1329 Hancock St in Bushwick, Brooklyn, 11237",11237,12,6,"$1,249,000",Brooklyn,New York,sq ft N/A,40.694397,-73.909404,0.0,No,CUNY Kingsborough Community College,919500.0
