UNITID,NAME,STREET,CITY,STATE,ZIP,NMCNTY,LAT,LON
101480,Jacksonville State University,700 Pelham Road North,Jacksonville,AL,36265,Calhoun County,33.822938,-85.765321
102553,University of Alaska Anchorage,3211 Providence Drive,Anchorage,AK,99508,Anchorage Municipality,61.190163,-149.82619
102669,Alaska Pacific University,4101 University Dr,Anchorage,AK,99508,Anchorage Municipality,61.190968,-149.804168
103501,Alaska Career College,1415 E Tudor Road,Anchorage,AK,99507-1033,Anchorage Municipality,61.181443,-149.856954
103741,Empire Beauty School-Tucson,3030 E Speedway Blvd,Tucson,AZ,85716,Pima County,32.235657,-110.927187
103893,Carrington College-Phoenix North,8503 N. 27th Ave.,Phoenix,AZ,85051-4063,Maricopa County,33.561689,-112.116105
103909,Carrington College-Mesa,"1001 W. Southern Ave., Ste. 130",Mesa,AZ,85210,Maricopa County,33.39248,-111.853218
103927,Carrington College-Tucson,"201 N. Bonita Ave., Ste. 101",Tucson,AZ,85745,Pima County,32.224391,-110.983056
103954,Arizona Academy of Beauty-East,5631 E Speedway Blvd,Tucson,AZ,85712,Pima County,32.237253,-110.872305
103963,Platt College-Arizona Automotive Institute Arizona,6829 N 46th Ave,Glendale,AZ,85301-3579,Maricopa County,33.537249,-112.157344
104090,Brookline College-Phoenix,"2445 W. Dunlap Ave., Ste. 100",Phoenix,AZ,85021,Maricopa County,33.566102,-112.112473
104179,University of Arizona,1401 E University,Tucson,AZ,85721-0066,Pima County,32.232672,-110.950815
104188,Southwest University of Visual Arts-Tucson,2525 N Country Club Rd,Tucson,AZ,85716,Pima County,32.252879,-110.927265
104504,Cortiva Institute-Tucson,"6390 E. Broadway, Suite 100",Tucson,AZ,85710,Pima County,32.21901,-110.856785
104568,Avalon School of Cosmetology-Mesa,2111 S Alma School Rd Ste 21,Mesa,AZ,85210,Maricopa County,33.376583,-111.858305
104665,School of Architecture at Taliesin,12621 N. Frank Lloyd Wright Blvd,Scottsdale,AZ,85259,Maricopa County,33.607097,-111.845411
104708,Glendale Community College,6000 W Olive Ave,Glendale,AZ,85302,Maricopa County,33.570226,-112.190735
104717,Grand Canyon University,3300 W Camelback Rd,Phoenix,AZ,85017,Maricopa County,33.513231,-112.129929
105145,GateWay Community College,108 N. 40th Street,Phoenix,AZ,85034,Maricopa County,33.449686,-111.997077
105154,Mesa Community College,1833 W Southern Ave,Mesa,AZ,85202,Maricopa County,33.390323,-111.871255
105215,Universal Technical Institute of Arizona Inc-Motorcycle Mechanics Institute Division,2844 W Deer Valley Rd,Phoenix,AZ,85027,Maricopa County,33.684428,-112.121336
105367,Ottawa University-Phoenix,9414 North 25th Avenue,Phoenix,AZ,85021,Maricopa County,33.572173,-112.113001
105428,Phoenix College,1202 W Thomas Rd,Phoenix,AZ,85013,Maricopa County,33.481361,-112.088293
105482,Cortiva Institute-Scottsdale,8010 East McDowell Road #214,Scottsdale,AZ,85257,Maricopa County,33.466153,-111.90807
105525,Pima Community College,4905C East  Broadway Blvd.,Tucson,AZ,85709-1275,Pima County,32.222125,-110.886659
105534,Pima Medical Institute-Tucson,"2121 N Craycroft Road, Bldg 1",Tucson,AZ,85712,Pima County,32.248067,-110.878783
105543,Pima Medical Institute-Albuquerque,4400 Cutler Avenue NE,Albuquerque,NM,87110,Bernalillo County,35.104855,-106.59488
105659,Refrigeration School Inc,4210 E Washington Street,Phoenix,AZ,85034-1816,Maricopa County,33.448692,-111.989357
105677,Roberto-Venn School of Luthiery,1012 NW Grand Ave,Phoenix,AZ,85007,Maricopa County,33.45489,-112.086161
105747,Scottsdale Community College,9000 E Chaparral Rd,Scottsdale,AZ,85256,Maricopa County,33.51135,-111.885186
